customer_id,Age,Age_score,balance,Balance-Score,day_since_last_contact,pday-Score,Campaign,Campaign_Score,Total_Score,Risk Category
1,32,25,"  $2,143.00  ",35,-1,0,1,30,90,Low Risk
2,53,35,  $29.00  ,10,-1,0,1,30,75,Low Risk
3,57,35,  $2.00  ,10,-1,0,1,30,75,Low Risk
4,33,25,"  $1,506.00  ",25,-1,0,1,30,80,Low Risk
5,49,35,  $1.00  ,10,-1,0,1,30,75,Low Risk
6,51,35,  $231.00  ,10,-1,0,1,30,75,Low Risk
7,60,35,  $447.00  ,10,-1,0,1,30,75,Low Risk
8,59,35,  $2.00  ,10,-1,0,1,30,75,Low Risk
9,55,35,  $121.00  ,10,-1,0,1,30,75,Low Risk
10,35,25,  $593.00  ,25,-1,0,1,30,80,Low Risk
11,57,35,  $270.00  ,10,-1,0,1,30,75,Low Risk
12,31,25,  $390.00  ,10,-1,0,1,30,65,Medium Risk
13,54,35,  $6.00  ,10,-1,0,1,30,75,Low Risk
14,55,35,  $71.00  ,10,-1,0,1,30,75,Low Risk
15,43,35,  $162.00  ,10,-1,0,1,30,75,Low Risk
16,53,35,  $229.00  ,10,-1,0,1,30,75,Low Risk
17,44,35,  $13.00  ,10,-1,0,1,30,75,Low Risk
18,55,35,  $52.00  ,10,-1,0,1,30,75,Low Risk
19,49,35,  $60.00  ,10,-1,0,1,30,75,Low Risk
20,55,35,  $-    ,#VALUE!,-1,0,1,30,#VALUE!,
21,45,35,  $723.00  ,25,-1,0,1,30,90,Low Risk
22,47,35,  $779.00  ,25,-1,0,1,30,90,Low Risk
23,42,35,  $23.00  ,10,-1,0,1,30,75,Low Risk
24,59,35,  $50.00  ,10,-1,0,1,30,75,Low Risk
25,46,35,  $-    ,#VALUE!,-1,0,1,30,#VALUE!,
26,51,35,  $-372.00  ,0,-1,0,1,30,65,Medium Risk
27,56,35,  $255.00  ,10,-1,0,1,30,75,Low Risk
28,41,35,  $113.00  ,10,-1,0,1,30,75,Low Risk
29,46,35,  $-246.00  ,0,-1,0,2,20,55,Medium Risk
30,57,35,  $265.00  ,10,-1,0,1,30,75,Low Risk
31,42,35,  $839.00  ,25,-1,0,1,30,90,Low Risk
32,30,25,  $378.00  ,10,-1,0,1,30,65,Medium Risk
33,60,35,  $39.00  ,10,-1,0,1,30,75,Low Risk
